Suburb,Address,Bedroom,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount
Abbotsford,17 Raphael St,4,h,1026500.0,W,Biggin,07-11-2016,2.5,3067,6,2,0,230.0,147.0,1860,Yarra,Northern Metropolitan,4019
Abbotsford,98 Charles St,2,h,1636000.0,S,Nelson,08-10-2016,2.5,3067,2,1,2,256.0,107.0,1890,Yarra,Northern Metropolitan,4019
Abbotsford,217 Langridge St,3,h,1000000.0,S,Jellis,08-10-2016,2.5,3067,3,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,18a Mollison St,2,t,745000.0,S,Jellis,08-10-2016,2.5,3067,2,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,6/241 Nicholson St,1,u,300000.0,S,Biggin,08-10-2016,2.5,3067,1,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,10 Valiant St,2,h,1097000.0,S,Biggin,08-10-2016,2.5,3067,3,1,2,220.0,75.0,1900,Yarra,Northern Metropolitan,4019
Abbotsford,403/609 Victoria St,2,u,542000.0,S,Dingle,08-10-2016,2.5,3067,2,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,2 Rich St,2,h,1026500.0,SP,Biggin,10-12-2016,2.5,3067,2,1,1,176.0,80.0,1925,Yarra,Northern Metropolitan,4019
Abbotsford,25/84 Trenerry Cr,2,u,760000.0,SP,Biggin,10-12-2016,2.5,3067,2,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,106/119 Turner St,1,u,481000.0,SP,Purplebricks,10-12-2016,2.5,3067,1,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,411/8 Grosvenor St,2,u,700000.0,VB,Jellis,12-11-2016,2.5,3067,2,2,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,40 Nicholson St,3,h,1350000.0,VB,Nelson,12-11-2016,2.5,3067,3,2,2,214.0,190.0,2005,Yarra,Northern Metropolitan,4019
Abbotsford,123/56 Nicholson St,2,u,750000.0,S,Biggin,12-11-2016,2.5,3067,2,2,1,181.5,94.0,2009,Yarra,Northern Metropolitan,4019
Abbotsford,22 Park St,4,h,1985000.0,S,Biggin,12-11-2016,2.5,3067,4,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,13/84 Trenerry Cr,1,u,500000.0,S,Biggin,12-11-2016,2.5,3067,1,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,45 William St,2,h,1172500.0,S,Biggin,13-08-2016,2.5,3067,2,1,1,195.0,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,7/20 Abbotsford St,1,u,441000.0,SP,Greg,14-05-2016,2.5,3067,1,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,16 William St,2,h,1310000.0,S,Jellis,15-10-2016,2.5,3067,2,1,2,238.0,97.0,1890,Yarra,Northern Metropolitan,4019
Abbotsford,16/11 Nicholson St,3,u,1026500.0,PI,Philip,16-04-2016,2.5,3067,3,2,2,181.5,129.0,2010,Yarra,Northern Metropolitan,4019
Abbotsford,42 Henry St,3,h,1200000.0,S,Jellis,16-07-2016,2.5,3067,3,2,1,113.0,110.0,1880,Yarra,Northern Metropolitan,4019
Abbotsford,250 Langridge St,2,t,847000.0,S,Jellis,16-07-2016,2.5,3067,2,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,16b Mollison St,2,h,1026500.0,PI,Biggin,16-07-2016,2.5,3067,2,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,16-07-2016,2.5,3067,2,1,1,138.0,105.0,1890,Yarra,Northern Metropolitan,4019
Abbotsford,196 Nicholson St,3,h,955000.0,S,Collins,17-09-2016,2.5,3067,3,1,0,183.0,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,17-09-2016,2.5,3067,2,1,1,150.0,73.0,1985,Yarra,Northern Metropolitan,4019
Abbotsford,3/72 Charles St,4,h,1330000.0,PI,Kay,18-03-2017,2.5,3067,4,2,2,780.0,135.0,1900,Yarra,Northern Metropolitan,4019
Abbotsford,1/1 Mayfield St,3,h,1026500.0,SP,Nelson,18-03-2017,2.5,3067,3,2,1,119.0,167.0,2005,Yarra,Northern Metropolitan,4019
Abbotsford,13/11 Nicholson St,3,t,900000.0,S,Beller,18-03-2017,2.5,3067,3,2,2,181.5,98.0,2010,Yarra,Northern Metropolitan,4019
Abbotsford,138/56 Nicholson St,3,u,1090000.0,S,Jellis,18-03-2017,2.5,3067,3,2,2,4290.0,27.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,6/219 Nicholson St,2,u,500000.0,S,Collins,18-06-2016,2.5,3067,2,1,1,181.5,60.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,18-06-2016,2.5,3067,2,2,1,124.0,135.0,2013,Yarra,Northern Metropolitan,4019
Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,19-11-2016,2.5,3067,2,1,0,147.0,85.0,1900,Yarra,Northern Metropolitan,4019
Abbotsford,65/80 Trenerry Cr,1,u,480000.0,S,Biggin,19-11-2016,2.5,3067,1,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,119/52 Nicholson St,1,u,423500.0,S,hockingstuart,22-05-2016,2.5,3067,1,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,8b Park St,4,h,1026500.0,PI,Biggin,22-05-2016,2.5,3067,4,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,5/20 Abbotsford St,1,u,426000.0,SP,Greg,22-08-2016,2.5,3067,1,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,22-08-2016,2.5,3067,3,3,1,166.0,174.0,2012,Yarra,Northern Metropolitan,4019
Abbotsford,116/56 Nicholson St,1,u,457000.0,S,Jellis,22-08-2016,2.5,3067,1,1,1,181.5,50.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,22-08-2016,2.5,3067,2,2,2,98.0,128.0,1920,Yarra,Northern Metropolitan,4019
Abbotsford,49/84 Trenerry Cr,2,h,700000.0,S,Biggin,23-04-2016,2.5,3067,2,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,31 Turner St,4,h,1542000.0,S,Collins,24-09-2016,2.5,3067,4,3,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,17/1 Abbot St,3,t,962000.0,SP,Jellis,25-02-2017,2.5,3067,3,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,166 Gipps St,3,h,1290000.0,S,Biggin,25-02-2017,2.5,3067,3,2,2,147.0,18.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,25-02-2017,2.5,3067,3,1,1,168.0,124.0,1950,Yarra,Northern Metropolitan,4019
Abbotsford,11/205 Gipps St,1,u,470000.0,S,Nelson,26-07-2016,2.5,3067,1,1,1,181.5,50.0,2013,Yarra,Northern Metropolitan,4019
Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,27-11-2016,2.5,3067,2,1,0,162.0,91.0,1900,Yarra,Northern Metropolitan,4019
Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,27-11-2016,2.5,3067,3,2,1,120.0,128.0,1998,Yarra,Northern Metropolitan,4019
Abbotsford,4/328 Johnston St,2,u,1026500.0,PI,Biggin,28-05-2016,2.5,3067,2,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,28-05-2016,2.5,3067,2,1,0,182.0,82.0,1900,Yarra,Northern Metropolitan,4019
Abbotsford,82/84 Trenerry Cr,2,u,970000.0,SP,Biggin,28-05-2016,2.5,3067,2,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,30-07-2016,2.5,3067,2,1,1,172.0,81.0,1930,Yarra,Northern Metropolitan,4019
Abbotsford,22 Park St,4,h,1026500.0,W,Biggin,30-07-2016,2.5,3067,4,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Abbotsford,40/80 Trenerry Cr,3,h,927000.0,S,Biggin,30-07-2016,2.5,3067,3,1,1,181.5,98.0,1970,Yarra,Northern Metropolitan,4019
Airport West,154 Halsey Rd,3,t,840000.0,PI,Nelson,03-09-2016,13.5,3042,3,2,1,303.0,225.0,2016,Moonee Valley,Western Metropolitan,3464
Airport West,50 Bedford St,3,h,730000.0,VB,Nelson,03-12-2016,13.5,3042,3,2,1,509.0,145.0,1965,Moonee Valley,Western Metropolitan,3464
Airport West,50 Bedford St,3,h,770000.0,SP,Nelson,04-03-2017,13.5,3042,3,2,1,509.0,145.0,1965,Moonee Valley,Western Metropolitan,3464
Airport West,5 Harrington Rd,3,h,737177.6,S,Brad,04-03-2017,13.5,3042,3,1,1,580.0,114.0,1960,Moonee Valley,Western Metropolitan,3464
Airport West,23 Hart St,2,h,603000.0,S,Nelson,04-03-2017,13.5,3042,2,1,1,272.0,84.0,1950,Moonee Valley,Western Metropolitan,3464
Airport West,1/80 Hawker St,3,t,700000.0,S,Brad,04-03-2017,13.5,3042,3,2,2,239.0,134.0,2009,Moonee Valley,Western Metropolitan,3464
Airport West,1/37 Hillside Gr,3,h,600000.0,S,Maddison,04-03-2017,13.5,3042,2,1,1,290.0,116.0,1980,Moonee Valley,Western Metropolitan,3464
Airport West,2/49 McIntosh St,2,u,500000.0,VB,Barry,04-03-2017,13.5,3042,2,1,1,168.0,86.0,2011,Moonee Valley,Western Metropolitan,3464
Airport West,4/9 West Ct,2,t,420000.0,VB,Barry,04-06-2016,13.5,3042,2,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,1/36 York St,3,t,500000.0,VB,Nelson,04-06-2016,13.5,3042,3,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,33 Bowes Av,5,h,1035000.0,S,Airport,06-08-2016,13.5,3042,5,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,89 Bowes Av,4,h,960000.0,S,Barry,06-08-2016,13.5,3042,4,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,45 Laurence Av,4,h,960000.0,S,Nelson,06-08-2016,13.5,3042,4,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,54 Marshall Rd,3,h,720000.0,S,Barry,06-08-2016,13.5,3042,2,1,1,620.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,36 Roberts Rd,4,h,785000.0,S,Considine,06-08-2016,13.5,3042,3,1,2,597.0,127.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,11 Harrington Rd,6,h,725000.0,SP,Barry,07-05-2016,13.5,3042,6,3,2,976.0,186.0,1980,Moonee Valley,Western Metropolitan,3464
Airport West,2/252 Parer Rd,2,t,450000.0,S,Barry,07-05-2016,13.5,3042,2,1,1,110.0,90.0,2015,Moonee Valley,Western Metropolitan,3464
Airport West,3/19 Hart St,2,u,515000.0,S,Barry,07-11-2016,13.5,3042,2,1,1,141.0,73.0,2013,Moonee Valley,Western Metropolitan,3464
Airport West,81a Roberts Rd,3,h,680000.0,VB,Nelson,08-10-2016,13.5,3042,3,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,10-09-2016,13.5,3042,2,1,1,120.0,94.0,2012,Moonee Valley,Western Metropolitan,3464
Airport West,3 Deidre Ct,3,h,895000.0,PI,Rendina,10-09-2016,13.5,3042,3,1,6,1063.0,133.0,1975,Moonee Valley,Western Metropolitan,3464
Airport West,3/24 Elstone Av,3,u,600000.0,VB,Nelson,10-09-2016,13.5,3042,3,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,13 Etzel St,3,h,805000.0,S,Nelson,10-12-2016,13.5,3042,3,1,1,509.0,105.0,1950,Moonee Valley,Western Metropolitan,3464
Airport West,37a North St,3,t,760000.0,PI,Barry,10-12-2016,13.5,3042,3,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,1/43 Cameron St,3,u,752000.0,S,Nelson,11-02-2017,13.5,3042,3,1,1,265.0,130.0,1993,Moonee Valley,Western Metropolitan,3464
Airport West,1/69 Bowes Av,3,u,580000.0,VB,Nelson,12-11-2016,13.5,3042,3,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,2/9 El Reno Cr,3,h,725000.0,PI,Ray,12-11-2016,13.5,3042,3,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,92 McNamara Av,4,h,758000.0,S,Jellis,13-08-2016,13.5,3042,4,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,145a Victory Rd,2,u,440000.0,S,Barry,13-08-2016,13.5,3042,2,1,1,192.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,20 Creswell Av,3,h,970000.0,S,Barry,14-05-2016,13.5,3042,3,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,241 Parer Rd,5,h,755000.0,PI,Propertyau,14-05-2016,13.5,3042,3,2,2,596.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,71 Bowes Av,4,h,985000.0,S,Barry,15-10-2016,13.5,3042,4,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,15-10-2016,13.5,3042,3,2,2,165.0,133.0,2009,Moonee Valley,Western Metropolitan,3464
Airport West,2/112 Parer Rd,2,u,509500.0,SP,Nelson,15-10-2016,13.5,3042,2,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,180 Parer Rd,3,h,830000.0,S,Barry,16-04-2016,13.5,3042,3,1,2,971.0,113.0,1960,Moonee Valley,Western Metropolitan,3464
Airport West,4/54 Hawker St,2,u,462500.0,S,Barry,16-07-2016,13.5,3042,2,1,1,164.0,126.0,2003,Moonee Valley,Western Metropolitan,3464
Airport West,43 Hillside Gr,3,h,670000.0,SP,Barry,16-07-2016,13.5,3042,3,2,2,657.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,174 Parer Rd,2,h,675000.0,S,Barry,16-07-2016,13.5,3042,2,1,1,612.0,100.0,1975,Moonee Valley,Western Metropolitan,3464
Airport West,138 Victory Rd,3,h,1042000.0,S,Nelson,16-07-2016,13.5,3042,3,2,5,612.0,174.0,1950,Moonee Valley,Western Metropolitan,3464
Airport West,75 King St,3,h,910000.0,S,McDonald,17-09-2016,13.5,3042,3,1,1,775.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,6 Kittyhawk St,4,h,773000.0,S,Brad,17-09-2016,13.5,3042,5,3,4,531.0,309.0,1980,Moonee Valley,Western Metropolitan,3464
Airport West,7 McNamara Av,3,h,715000.0,S,Barry,17-09-2016,13.5,3042,3,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,478 Fullarton Rd,3,h,810000.0,PI,Barry,18-03-2017,13.5,3042,3,3,2,555.0,192.0,1980,Moonee Valley,Western Metropolitan,3464
Airport West,144 Marshall Rd,3,h,715000.0,S,Rendina,18-03-2017,13.5,3042,3,2,2,422.0,126.0,1995,Moonee Valley,Western Metropolitan,3464
Airport West,106 Parer Rd,3,h,790000.0,S,Nelson,18-03-2017,13.5,3042,3,1,3,614.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,1/41 Hillside Gr,2,t,460000.0,VB,Nelson,18-06-2016,13.5,3042,2,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,3/7 South Rd,3,t,540000.0,SP,Nelson,18-06-2016,13.5,3042,2,2,1,161.0,101.0,2010,Moonee Valley,Western Metropolitan,3464
Airport West,37 North St,3,t,825000.0,SP,Barry,19-11-2016,13.5,3042,3,2,1,293.0,102.0,1960,Moonee Valley,Western Metropolitan,3464
Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,22-05-2016,13.5,3042,3,1,1,579.0,113.0,1975,Moonee Valley,Western Metropolitan,3464
Airport West,7/42 York St,3,u,445000.0,S,Brad,22-05-2016,13.5,3042,3,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,110 Halsey Rd,3,h,805000.0,S,Barry,22-08-2016,13.5,3042,3,1,1,623.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,2/13 North St,2,u,510000.0,S,Nelson,22-08-2016,13.5,3042,2,1,1,141.0,76.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,105a Victory Rd,3,h,612000.0,S,Nelson,22-08-2016,13.5,3042,3,2,1,212.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,117 Marshall Rd,3,h,662000.0,S,Brad,23-04-2016,13.5,3042,3,1,2,612.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,34 Moorna Dr,4,h,978000.0,S,Nelson,24-09-2016,13.5,3042,4,3,2,532.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,2/89 Marshall Rd,3,u,737177.6,VB,Barry,25-02-2017,13.5,3042,3,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,33 North St,3,h,720000.0,PI,Nelson,25-02-2017,13.5,3042,3,1,1,585.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,4/40 McNamara Av,2,u,474000.0,PI,Barry,26-07-2016,13.5,3042,2,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,5/93 McNamara Av,2,t,490000.0,SP,Frank,26-07-2016,13.5,3042,2,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,2/137 McNamara Av,3,h,405000.0,S,Ray,27-06-2016,13.5,3042,3,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,1/46 Bowes Av,3,t,715000.0,S,Barry,27-11-2016,13.5,3042,3,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,1/34 Elstone Av,3,u,671500.0,S,McDonald,27-11-2016,13.5,3042,3,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,49 Roberts Rd,4,h,765000.0,S,Prof.,27-11-2016,13.5,3042,4,1,2,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,85 Roberts Rd,4,h,900000.0,S,Harcourts,27-11-2016,13.5,3042,4,2,3,628.0,146.0,1975,Moonee Valley,Western Metropolitan,3464
Airport West,22a Walters Av,3,u,820000.0,S,Nelson,28-08-2016,13.5,3042,3,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,1/145 Parer Rd,3,u,650000.0,PI,Nelson,30-07-2016,13.5,3042,3,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Airport West,3/35 Walters Av,3,t,552000.0,SP,Nelson,30-07-2016,13.5,3042,3,1,1,509.0,126.0,1970,Moonee Valley,Western Metropolitan,3464
Albert Park,105 Kerferd Rd,2,h,1275000.0,S,hockingstuart,03-09-2016,3.3,3206,2,1,0,120.0,82.0,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,85 Richardson St,2,h,1455000.0,S,Thomson,03-09-2016,3.3,3206,2,1,0,159.0,128.0,1970,Port Phillip,Southern Metropolitan,3280
Albert Park,112 Beaconsfield Pde,3,h,2850000.0,PI,Buxton,04-03-2017,3.3,3206,3,2,0,211.0,198.0,1890,Port Phillip,Southern Metropolitan,3280
Albert Park,94 Graham St,3,h,1850000.0,S,Greg,04-03-2017,3.3,3206,3,2,0,128.0,133.0,1890,Port Phillip,Southern Metropolitan,3280
Albert Park,14 Merton St,2,h,1924388.2,SP,Marshall,04-03-2017,3.3,3206,2,1,0,215.0,128.0,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,396 Montague St,2,h,1436000.0,S,RT,04-03-2017,3.3,3206,2,1,0,130.0,81.0,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,9 Boyd St,3,h,1924388.2,SN,Greg,06-08-2016,3.3,3206,2,2,1,336.0,145.0,1890,Port Phillip,Southern Metropolitan,3280
Albert Park,75 Graham St,2,h,1110000.0,S,Marshall,06-08-2016,3.3,3206,1,1,0,147.0,128.0,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,54 Brooke St,2,h,1550000.0,S,Sotheby's,07-05-2016,3.3,3206,2,1,1,167.0,128.0,1970,Port Phillip,Southern Metropolitan,3280
Albert Park,104 Richardson St,4,h,2300000.0,S,Marshall,07-05-2016,3.3,3206,4,2,1,153.0,180.0,1880,Port Phillip,Southern Metropolitan,3280
Albert Park,81 Richardson St,3,h,1924388.2,S,Marshall,07-05-2016,3.3,3206,3,1,2,316.0,125.0,1880,Port Phillip,Southern Metropolitan,3280
Albert Park,4a Mills St,3,t,1550000.0,VB,Marshall,07-11-2016,3.3,3206,3,2,2,718.0,128.0,1970,Port Phillip,Southern Metropolitan,3280
Albert Park,1 Moubray St,3,h,1800000.0,VB,Greg,07-11-2016,3.3,3206,3,2,1,132.0,159.0,1996,Port Phillip,Southern Metropolitan,3280
Albert Park,114 Victoria Av,3,h,2485000.0,S,Cayzer,08-10-2016,3.3,3206,3,1,1,172.0,128.0,1970,Port Phillip,Southern Metropolitan,3280
Albert Park,29 Faussett St,2,h,2120000.0,S,Greg,10-09-2016,3.3,3206,2,1,1,199.0,107.0,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,3 Herbert St,3,h,1800000.0,VB,Cayzer,10-09-2016,3.3,3206,3,1,1,253.0,128.0,1970,Port Phillip,Southern Metropolitan,3280
Albert Park,24 Kerferd Pl,3,h,1800000.0,S,Marshall,10-09-2016,3.3,3206,3,2,1,90.0,122.0,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,5 Withers St,3,h,1924388.2,SN,Marshall,10-09-2016,3.3,3206,3,1,0,126.0,88.0,1910,Port Phillip,Southern Metropolitan,3280
Albert Park,44 Draper St,2,h,1810000.0,PI,Greg,10-12-2016,3.3,3206,2,1,0,240.0,128.0,1970,Port Phillip,Southern Metropolitan,3280
Albert Park,2 Dundas Pl,3,h,2615000.0,S,Cayzer,10-12-2016,3.3,3206,3,2,1,177.0,181.0,1880,Port Phillip,Southern Metropolitan,3280
Albert Park,23 Finlay St,5,h,2100000.0,S,Greg,10-12-2016,3.3,3206,5,2,1,237.0,128.0,1970,Port Phillip,Southern Metropolitan,3280
Albert Park,31 Richardson St,3,h,1300000.0,S,hockingstuart,10-12-2016,3.3,3206,3,1,0,129.0,128.0,1970,Port Phillip,Southern Metropolitan,3280
Albert Park,4a Gatehouse La,3,h,1370000.0,S,Greg,12-06-2016,3.3,3206,3,2,2,172.0,85.0,2000,Port Phillip,Southern Metropolitan,3280
Albert Park,60 Brooke St,2,h,1000000.0,S,Cayzer,12-11-2016,3.3,3206,2,1,0,288.0,128.0,1970,Port Phillip,Southern Metropolitan,3280
Albert Park,140 Danks St,2,h,1924388.2,SP,Marshall,13-08-2016,3.3,3206,2,1,2,366.0,117.0,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,70 Barrett St,3,h,2575000.0,S,Greg,15-10-2016,3.3,3206,3,2,1,228.0,128.0,1970,Port Phillip,Southern Metropolitan,3280
Albert Park,65 Graham St,2,h,1322500.0,S,Greg,15-10-2016,3.3,3206,2,1,0,149.0,98.0,1890,Port Phillip,Southern Metropolitan,3280
Albert Park,1 Herbert Pl,2,h,1924388.2,S,hockingstuart,15-10-2016,3.3,3206,2,1,1,152.0,128.0,1970,Port Phillip,Southern Metropolitan,3280
Albert Park,364 Montague St,2,h,1562500.0,S,Greg,15-10-2016,3.3,3206,2,1,0,141.0,83.0,1890,Port Phillip,Southern Metropolitan,3280
Albert Park,86 Mills St,3,h,2000000.0,VB,RT,16-04-2016,3.3,3206,3,2,1,211.0,147.0,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,28 Dinsdale St,4,h,1924388.2,S,Marshall,17-09-2016,3.3,3206,3,1,0,236.0,128.0,1970,Port Phillip,Southern Metropolitan,3280
Albert Park,90 Danks St,3,h,1924388.2,S,Marshall,18-03-2017,3.3,3206,3,1,2,300.0,128.0,1970,Port Phillip,Southern Metropolitan,3280
Albert Park,129 Kerferd Rd,3,h,1900000.0,S,Greg,18-03-2017,3.3,3206,3,1,0,209.0,128.0,1900,Port Phillip,Southern Metropolitan,3280
Albert Park,97 Page St,3,h,3010000.0,S,Greg,18-03-2017,3.3,3206,3,2,0,147.0,146.0,1890,Port Phillip,Southern Metropolitan,3280
Albert Park,36 Ashworth St,3,h,1924388.2,SP,Marshall,18-06-2016,3.3,3206,3,1,0,173.0,128.0,1970,Port Phillip,Southern Metropolitan,3280
